,dma_name,median_income,poverty_rate,bach_plus_rate,grad_prof_rate,population,dma_race_total,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_nhpi,pct_nh_sor,pct_nh_two_plus,search_interest,score_all_ela,score_all_math,score_all_ela_g5,score_all_ela_g6,score_all_ela_g7,score_all_ela_g8,score_all_math_g3,score_all_math_g4,score_all_math_g5,score_all_math_g6,score_all_ela_g3,score_all_ela_g4,score_all_math_g7,score_all_math_g8,cluster_id
17,"Billings, MT",58544.17720728647,11.189662166077534,29.44109605150972,9.029488724899304,246649.0,246649.0,4.980356701223196,83.72342884017368,0.4013800988449172,7.657034895742533,0.5826092949900467,0.0733836342332626,0.0466249609769348,2.535181573815422,65.07894736842105,4.897049162173692,5.268612876318458,4.458224857406748,5.578869491096607,6.127221125133919,7.4459137983240415,2.6507866236229547,3.9109478891451337,4.767715860663817,5.897416191260736,2.318001566148068,3.611450927255437,6.740603068826283,7.857026674915646,0
18,Biloxi-Gulfport MS,49120.766883165285,18.45414764578879,21.43046622403513,7.816278434975837,389071.0,389071.0,5.522642396889,67.2604743093163,22.0090934559502,0.4361671777130652,2.399047988670448,0.041894667040206,0.1346797885218893,2.1960002158988976,85.00197628458497,5.913096875636747,5.871837101585799,5.412053828557757,6.581624707208183,7.172662884009465,7.906012937645794,3.795796218871081,4.564212100675151,5.27362511248774,6.56901402854957,3.9499137753305353,4.689027567845131,7.163244371013352,8.132233904699696,0
19,Binghamton NY,53400.16936596789,15.64348180480414,25.743939519163423,11.36060132845566,334778.0,334778.0,3.548918985118497,87.86569009911047,3.395683109403844,0.1678724408413934,2.779155141616235,0.0143378597159908,0.0483902765414692,2.179952087652116,37.73989321128909,5.546973954581576,,,,,,,,,,,,,,0
20,Birmingham AL,52865.84683915389,15.691229448641067,26.009789359769048,9.85222935071459,1890111.0,1890111.0,4.028863913283399,66.82247762168465,26.071802132255723,0.2234789385385302,1.1849568623218425,0.0250249853050958,0.1417906144136508,1.501604932197104,30.40252749253581,4.723809728155487,4.315734482669343,4.337538169803988,5.19370152715788,6.1312881630399625,7.007747343177133,1.9240751105438247,2.95545851877705,3.901580557105071,4.794814709608859,2.39354114118539,3.3524277842426677,5.740442122791377,6.65465956106545,4
21,Bluefield-Beckley-Oak Hill WV,40838.80084265749,19.61537738273586,16.13582972047085,5.8008871159551525,330146.0,330146.0,1.2927613843572237,91.36563823278186,5.0232321457779285,0.20778685793558,0.48978330799101,0.0202940517225712,0.1550829027157682,1.445421116718058,114.97298872910996,5.955749386660783,4.391742076514524,5.371339322802209,6.220900253631426,7.344051668067066,7.703623048658295,2.129487649251685,2.8952349388566434,4.027081790211418,5.129010039755348,4.011865224315556,4.57640971012917,5.782241604728045,6.951914599235799,0
22,Boise ID,59179.37080258851,12.366827989488986,29.779336059304583,9.771209625227982,824258.0,824258.0,14.415631998718847,79.50544611031982,0.9601362680131706,0.5657209271854201,1.7824516110247035,0.1607506387563117,0.1073692945655365,2.502493151416183,16.060517028847478,5.918669193462859,5.867218623814351,5.393490544842496,6.364070078843002,7.422322271189402,8.405972204302886,3.255068159717869,4.1884887360583205,5.328120412413889,6.234932512515854,3.4205990467983587,4.361416458073453,7.464389240807026,8.596918348663658,0
23,Boston MA-Manchester NH,86536.99976783396,9.19781809407246,45.20544623922154,20.08604316447972,6641798.0,6641798.0,10.173630694579993,73.78898003221417,6.3721901810323045,0.1438465909381766,6.73123452414542,0.0295100814568585,0.6859588322318745,2.0746490634012056,11.04982896996516,6.452747548156529,6.432317009897117,5.9800893316020325,6.9346455792433135,7.963559746307085,8.90753887213864,3.630600333321263,4.751545722368837,5.870556680430869,6.980112533102485,4.078921329922455,5.009404423264632,8.194690484281889,9.359532069518451,2
24,Bowling Green KY,46270.274216450765,19.332292332865435,22.7954857030944,9.231786133960048,252122.0,252122.0,3.8544831470478575,85.23889228230777,5.874536930533631,0.291525531290407,2.232649272971022,0.1911772871863621,0.193557087441794,2.123178461221155,80.83836206896551,5.611814887658605,5.40111121790491,4.856222726985314,6.113166155353547,7.066272670776734,8.25515537430225,2.872177717935787,3.64193482461535,4.56217986950428,6.04137265776003,3.074664013825112,4.180015739950616,6.8231189115201145,8.34719367637861,0
25,Buffalo NY,55668.47847887959,14.419320150937862,28.978222343889577,12.489374117511453,1579704.0,1579704.0,4.766272668803776,80.98232327068868,9.182226543706925,0.6323969553789823,2.402348794457696,0.0259542293999382,0.092485680861731,1.9159918567022685,14.181961296567586,5.407031686679088,5.838045582617784,4.787413967529909,5.808572232123682,7.091776773123944,7.793748747580263,3.7796038176598215,4.183660911522168,5.153157486618577,5.8114735573041685,3.5455921441107527,3.6762249109837057,7.49023134160042,8.426911697030405,0
26,Burlington VT-Plattsburgh NY,62127.922366209285,11.408933251213718,34.79150973400961,14.770585379735182,847144.0,847144.0,2.172948164656776,91.63518835050476,1.846911505009774,0.6982284003664077,1.7409082753345355,0.043203988932224,0.1304382725959223,1.7321730425996051,21.210262998681507,6.149872510539913,6.182547501167427,5.432447038295807,6.472509134513127,7.513240664086151,8.557566891220574,3.5571246350823347,4.56610406279809,5.180906415458697,6.594707985653992,3.736225043899338,4.651145986070037,7.758445039317708,8.833927059130337,2
